#{"t_start": 1740827465.959146, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
175.0,6550,8.155144
307.0,4220,14.928958
131.0,6496,23.759725
179.0,5495,28.559907
219.0,4162,35.278891
129.0,6865,44.396796
339.0,5724,49.468045
73.0,4825,56.91552
333.0,4248,60.604516
182.0,5792,68.736942
269.0,5302,76.556236
246.0,5576,81.486528
329.0,6904,90.509434
97.0,4767,97.717085
68.0,4939,102.157012
58.0,2898,107.755506
321.0,6487,113.564275
56.0,3504,119.682042
120.0,7005,128.924731
327.0,6228,137.438041
142.0,5787,142.49619
319.0,7214,151.943617
64.0,4213,158.936375
